Argument ID	Part	Usage	Conclusion	Stance	Premise
A22449	usa	train	The three-strikes laws should be abolished.	in favor of	More people are put in jail because of three strikes laws, which is a burden on tax-payers and federal funding.
A22450	usa	train	We should not serve fast food.	against	Fast food is part of the economy.
A22453	usa	train	We should stop using safe spaces.	against	People should be able to speak their minds without being ridiculed or harassed.
A22455	usa	train	Celibacy should be abandoned.	against	When a person becomes a priest or nun they should only be focused on God.
A22457	usa	train	We should not allow cosmetic surgery for children.	in favor of	The bodies of minor girls have not even finished developing yet so any surgery to correct appearance may be undone by nature.
A22458	usa	train	We should not allow cosmetic surgery for children.	in favor of	A society that cares about appearance more than personality is promoted by cosmetic surgery.
A22459	usa	train	We should stop the pride parades.	in favor of	Pride parades are offensive to a lot of people.
A22460	usa	train	We should not use child actors.	in favor of	Child actors can be mentally and emotionally damaged if they are used.
A22461	usa	train	The three-strikes laws should be abolished.	in favor of	There are people who have received strikes for things they did as teens.
A22463	usa	train	The blockade of the Gaza Strip should be ended.	against	If it was ended, it would cause more fighting and terrorism.
A22464	usa	train	We should not serve fast food.	in favor of	The US is seeing a rise in health issues due to fast food.
A22467	usa	train	We should stop mandatory retirement.	in favor of	The system that fires the competent along with the incompetent is cruel.
A22468	usa	train	Holocaust denial should be a crime.	against	I still think that holocaust denial is a good thing, even if it is detestable.
A22469	usa	train	Affirmative action should be ended.	in favor of	We all fare better when we are forced to work hard and rely on ourselves.
A22470	usa	train	We should stop the pride parades.	in favor of	Pride parades promote bad lifestyles.
A22471	usa	train	We should not do cosmetic surgery.	against	A person who has had a mastectomy wants to have their breats restored.
A22472	usa	train	Affirmative action should be ended.	in favor of	Having so much to support today, from schools, hospitals, building roads, ending affirmative action will be a huge plus to support such cases.
A22473	usa	train	We should stop profiling people.	against	Some people look like they are playing a game.
A22474	usa	train	Affirmative action should be ended.	in favor of	Affirmative action harms those who choose to work hard all their lives to get into the best universities.
A22475	usa	train	We should allow the use of cannabis.	in favor of	It would eliminate the black market for cannabis and also free up prisons of people who are sentenced for cannabis possession.
A22477	usa	train	We should support stem cell research.	against	Stem cell research is not good.
A22480	usa	train	We should support stem cell research.	against	Stem cell research is seen as unethical by many religions.
A22481	usa	train	The Olympics should be abolished.	in favor of	The olympic games can be a huge financial strain on the host country.
A22482	usa	train	Foster care can bring harm.	in favor of	The foster care system is understaffed and social workers are exhausted.
A22484	usa	train	We should not allow school prayer.	in favor of	Children are in school to learn and prayer should not be done there.
A22485	usa	train	We should stop the development of cars.	in favor of	No car will be able to make complex judgements like a human can.
A22486	usa	train	We should use neutral language.	in favor of	We should use gender-neutral language because it can improve women's status in society.
A22487	usa	train	We should stop telemarketers.	against	It would eliminate many jobs.
A22488	usa	train	We should support the encyclopedia.	in favor of	There is an endless amount of information on the internet.
A22489	usa	train	We should stop profiling people.	against	Targeting groups who bring crime can help make arrests.
A22490	usa	train	We should stop using economic sanctions.	in favor of	Economic sanctions are cruel to the citizens of the country being punished, and the poor.
A22491	usa	train	We should stop telemarketers.	in favor of	telemarketing is annoying and invasion of privacy
A22492	usa	train	We should allow organ trade.	in favor of	People should be allowed to sell their organs if they want to.
A22493	usa	train	We should stop zoos.	in favor of	zoos are cruel and outdated because they enslave captured animals and leave them in climates they are not suited to.
A22494	usa	train	We should not be married.	in favor of	Marriage and divorce can be very expensive.
A22495	usa	train	We should support journalism.	in favor of	I believe the government should help pay for journalism because it would allow for better coverage of news events and help pay the high costs of filming.
A22496	usa	train	Capital punishment should be abolished.	against	Capital punishment for the most violent crimes is acceptable because it costs thousands of dollars to keep a prisoner imprisoned for life.
A22497	usa	train	It should be a criminal offense to assist in suicide.	against	One should be allowed to continue with assisted suicide if they want to end terminal pain and suffering.
A22498	usa	train	libertarianism should be adopted by us.	in favor of	It is an interesting concept that even though it hasn't caused much impact yet, it could possibly be a happy medium between the two existing parties.
A22499	usa	train	We should stop factory farming.	in favor of	Factory farming is unethical and produces meat that is not healthy for you to eat.
A22500	usa	train	We should stop using school uniforms.	in favor of	School uniforms are not nice.
A23001	usa	train	Private military companies should be banned.	in favor of	The do need to be banned because they do not follow the same rules as the government run military.
A23002	usa	train	We should stop zoos.	against	We should not abolish zoos because it makes it possible for people to see animals that they might not otherwise be able to see.
A23003	usa	train	We should have a multi-party system.	against	They can lead to a lot of indecision.
A23004	usa	train	Intelligence tests can bring harm.	against	Intelligence tests allow employers and schools to find areas where test takers need to improve.
A23005	usa	train	Celibacy should be abandoned.	against	celibacy should not be abandoned for the spirit of the Holy Quran.
A23006	usa	train	The Olympics should be abolished.	against	The olympic games are a great way for the world to see outstanding sport and encourage young people to take up sport.
A23008	usa	train	We should allow organ trade.	against	The organ trade should not be legalized as it would lead to targeting of the most vulnerable and least affluent of society.
A23009	usa	train	We should not use child actors.	in favor of	Child actors are thrown into roles they don't want to be in, while their parents make money.
A23010	usa	train	We should stop whaling.	against	The tradition and way of life of various indigenous population should be maintained through whaling, and other uses of a whale.
A23011	usa	train	We should close the camp.	in favor of	Many war crimes were committed in the area, such as torture and indefinite mention, but many people were let go because of lack of evidence.
A23012	usa	train	The Church of Scientologists should be banned.	against	We can't ban any church, people can believe in whatever religion they want.
A23013	usa	train	It should be a criminal offense to assist in suicide.	against	It is unfair to force someone with a terminal illness to suffer more and more as they die.
A23014	usa	train	There should be a ban on the use of payday loans.	against	We should require them to assess the ability of individuals to repay, which would avoid the problem of these loans creating cycles of debt.
A23015	usa	train	Holocaust denial should be a crime.	against	Everyone's speech is protected by freedom of speech.
A23016	usa	train	We should stop allowing the right to keep and bear arms.	against	Everyone should be able to protect themselves and their families with guns.
A23017	usa	train	libertarianism should be adopted by us.	in favor of	libertarianism gives citizens more freedom to live how they want.
A23018	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	Nuclear weapons bring us one step closer to a nuclear war.
A23019	usa	train	We should support stem cell research.	in favor of	The research will lead to many new developments in the treatment and cure of diseases.
A23023	usa	train	We should not allow school prayer.	against	Children can opt out of praying in schools if they so choose, so we should not prohibit the right to pray in schools.
A23024	usa	train	We should stop algorithmic trading.	in favor of	The market is unfair to the trading systems.
A23025	usa	train	Intellectual property rights should be abolished.	in favor of	Intellectual property rights discourage new ideas.
A23026	usa	train	The Olympics should be abolished.	in favor of	The olympic games are no longer a sporting competition because there are so many professional sports.
A23027	usa	train	We should stop using economic sanctions.	against	You shouldn't have to share your stuff with other places that do things against your country's beliefs.
A23028	usa	train	We should not tolerate any kind of behavior in schools.	in favor of	This would show that schools are serious about disciplining bad behavior.
A23029	usa	train	The three-strikes laws should be abolished.	in favor of	The three-strikes law has not shown to be effective in determing crime.
A23030	usa	train	Executive compensation should be limited.	in favor of	Workers would be more motivated to do a good job if they were paid more.
A23031	usa	train	We should support space exploration.	in favor of	Space exploration has brought about many technological advances that will benefit society in the future.
A23032	usa	train	We should stop using safe spaces.	in favor of	Safe spaces are used to silence legitimate viewpoints.
A23033	usa	train	There should be a ban on the use of payday loans.	in favor of	The cost of the loans is more than the worth.
A23034	usa	train	Affirmative action should be ended.	against	These people deserve a chance to do better after being discriminated against.
A23035	usa	train	We should use neutral language.	in favor of	We should use gender neutral language to make sure everyone is included.
A23036	usa	train	Executive compensation should be limited.	in favor of	Executive compensation concentrates wealth into a small number of people.
A23037	usa	train	We should allow the use of cannabis.	against	It would be easier for youth to acquire cannabis if it were legalized.
A23039	usa	train	We should not allow naturopathy.	in favor of	There are no proper standards forNaturopathy and it is easy for people to fall for useless products.
A23040	usa	train	We should not clone humans.	against	Human cloning can be used to research medical issues and preserve humankind.
A23041	usa	train	The Church of Scientologists should be banned.	against	The first amendment protects freedom of association.
A23043	usa	train	It should be a criminal offense to assist in suicide.	in favor of	It would be easy to murder a vulnerable relative in order to get an inheritance if assisted suicide were a criminal offence.
A23044	usa	train	We should support the encyclopedia.	against	Paying to do what they intend to do can result in being untruthful.
A23045	usa	train	We should stop telemarketers.	in favor of	If someone really wants a product they will buy it and not wait for someone to call them about it.
A23046	usa	train	The blockade of the Gaza Strip should be ended.	against	Blockading a terror entity is the only way to stop it.
A23047	usa	train	Intellectual property rights should be abolished.	in favor of	Large corporations have intellectual properties that allow them to have monopolies over their products.
A23048	usa	train	It should be banned.	in favor of	The birth mother can be very difficult to give up to the surrogate couple because of the emotional bond they have with the child.
A23050	usa	train	We should stop the pride parades.	against	There is a sense of community and support in pride parades.
A23051	usa	train	We should close the camp.	in favor of	The US needs to get away from the bay and so needs to close it.
A23052	usa	train	Intelligence tests can bring harm.	against	Intelligence tests equalize students from rich and poor families, so they bring more good than harm.
A23053	usa	train	We should stop using safe spaces.	in favor of	Safe spaces prevent change and growth by blocking out any dissent and only allowing accepted ideas to be spoken.
A23054	usa	train	Affirmative action should be ended.	against	Affirmative action is still necessary to provide more opportunities for people who have not been given them in the past.
A23055	usa	train	We should not allow flag burning.	against	People have the right to freedom of expression and flag burning is not a bad way to do it.
A23056	usa	train	We should have compulsory voting.	against	People who are forced to vote will distort the results with unresearched and made up candidates that they begrudgingly vote for.
A23058	usa	train	We should allow organ trade.	against	The organ trade will only make money for the seller and people may feel like they have to live donate just to get some money.
A23060	usa	train	We should stop algorithmic trading.	in favor of	Traditional trading occupations will be destroyed by algorithmic trading.
A23061	usa	train	Holocaust denial should be a crime.	in favor of	It is important to acknowledge the holocaust's ugly truth, otherwise we will never repeat it.
A23062	usa	train	libertarianism should be adopted by us.	against	There is a lot of wealth disparity in a libertarian society.
A23063	usa	train	We should stop using economic sanctions.	in favor of	When power is concentrated to an individual like a dictator, economic sanctions have little effect.
A23064	usa	train	We should stop allowing the right to keep and bear arms.	in favor of	The right to keep and bear arms was established before guns became deadly machines.
A23065	usa	train	We should stop mandatory retirement.	against	We should not end mandatory retirement because it opens up positions for young people who otherwise wouldn't have a chance.
A23066	usa	train	We should not allow school prayer.	against	Children and teachers are together.
A23067	usa	train	The three-strikes laws should be abolished.	in favor of	Three strikes laws do not evaluate circumstances around crimes.
A23068	usa	train	We should stop using economic sanctions.	in favor of	Economic sanctions cause harm to a large number of people and should be stopped.
A23069	usa	train	We should stop using school uniforms.	against	The distraction of clothing choice comparison affects the education of the children negatively.
A23070	usa	train	We should stop profiling people.	in favor of	Animus between minority groups is created when they are targeted and society is made aware of it.
A23071	usa	train	We should stop the development of cars.	against	Those without the ability of driving can be helped by the fact that there are cars that can do it.
A23072	usa	train	We should stop the development of cars.	in favor of	If a system malfunction causes an accident, the cars could be killed.
A23074	usa	train	Capital punishment should be abolished.	in favor of	Being killed by lethal injection or being killed by an electric shock can cause painful deaths.
A23076	usa	train	We should use neutral language.	in favor of	It will make communication easier between genders if we adopt gender-neutral language.
A23077	usa	train	We should stop zoos.	in favor of	zoos are prisons for wild animals who become aggressive and should be abolished.
A23078	usa	train	We should allow the use of cannabis.	in favor of	Revenue from cannabis legalization is very lucrative.
A23079	usa	train	We should stop whaling.	in favor of	Before whales are threatened, they need to be protected.
A23080	usa	train	We should stop using school uniforms.	against	School uniforms show pride and community.
A23081	usa	train	We should not do cosmetic surgery.	against	People have the right to decide what they want to do to their body.
A23082	usa	train	We should allow organ trade.	against	The poor of society will resort to selling body parts just to survive, which will harm them in the end.
A23083	usa	train	The three-strikes laws should be abolished.	against	The three strikes law would punish criminals who repeat themselves.
A23084	usa	train	The Olympics should be abolished.	against	The olympic games are a great way to get employment.
A23085	usa	train	Prostitution should be legalized.	in favor of	Some women need the income to support themselves and their families.
A23086	usa	train	We should have a multi-party system.	in favor of	A survey shows that more than 90 percent of the people in the US are in favor of a multi-party system.
A23087	usa	train	We should not be married.	in favor of	The wedding is a carefully calculated glamour that is used to impress when the real meaning of the event is lost.
A23088	usa	train	Social media can bring harm.	in favor of	Social media can bring harm and good.
A23090	usa	train	We should stop mandatory retirement.	in favor of	People should be allowed to retire when they are ready.
A23091	usa	train	We should fight for our communities.	in favor of	Population growth and pollution are caused by overcrowding.
A23092	usa	train	We should subsidize stay-at- home dads.	in favor of	We should subsidize stay at home dads for the benefit of the children in those situations, because a mother needs to go to work.
A23093	usa	train	We should support the encyclopedia.	in favor of	It is the go to encyclopedia and should be of the highest quality.
A23094	usa	train	Foster care can bring harm.	in favor of	Children who are kept in their family home do better than those who are placed in foster care.
A23095	usa	train	Holocaust denial should be a crime.	against	holocaust denial should not be a criminal offense because it violates the right to free speech.
A23096	usa	train	We should stop using school uniforms.	in favor of	The school unifoorm creates a sense of community and takes away some aspects that can lead to bully.
A23097	usa	train	We should subsidize stay-at- home dads.	in favor of	Everybody seeking equality can't see why we should subsidize stay-at- home mothers and not subsidize stay-at- home dads.
A23098	usa	train	Holocaust denial should be a crime.	in favor of	Holocaust denial encourages anti-Semitism.
A23099	usa	train	Intellectual property rights should be abolished.	in favor of	Intellectual property rights are not helpful to companies who want to copy other people's ideas.
A23100	usa	train	We should stop whaling.	in favor of	The ocean is affected by whaling.
A23101	usa	train	We should stop the development of cars.	in favor of	Millions of jobs of truck and taxi drivers will be lost.
A23102	usa	train	We should fight for our communities.	in favor of	The environment is in grave danger from the threat of urbanization.
A23103	usa	train	We should subsidize stay-at- home dads.	in favor of	We should be encouraging fathers to give up their careers in order to stay home with their children.
A23104	usa	train	There should be a ban on the use of payday loans.	against	Many people who need to make a bill payment on time use a payday loan.
A23105	usa	train	We should stop using school uniforms.	against	A school uniform levels the field for poor, rich, fashionable and not so all students can fit in and integrate.
A23107	usa	train	It should be a criminal offense to assist in suicide.	against	The patient has control over their final decisions, so assisted suicide shouldn't be a criminal offence.
A23108	usa	train	We should stop zoos.	against	zoos help to protect animals
A23110	usa	train	The blockade of the Gaza Strip should be ended.	against	If the blockade ends there will be huge retaliation or war which can't be risked.
A23113	usa	train	We should not clone humans.	against	We should not ban human cloning because it will make it harder to find cures for diseases such as cancer and dementia.
A23114	usa	train	Private military companies should be banned.	in favor of	Private military companies only exist to make money from warfare.
A23115	usa	train	We should stop algorithmic trading.	against	The field of action of information is raised by the digitization of the sector.
A23117	usa	train	Prostitution should be legalized.	against	Prostitution is against all the values of a decent society.
A23120	usa	train	Intelligence tests can bring harm.	against	Intelligence tests can help determine which area an individual is best at so they can take the path that will lead them to their greatest success.
A23121	usa	train	We should stop whaling.	against	If a county wants to hunt and kill whales, they should be allowed to do so.
A23122	usa	train	The three-strikes laws should be abolished.	in favor of	The three-strikes law is unfair to those who have minimal crimes.
A23123	usa	train	We should fight for our communities.	against	We shouldn't fight urbanization because it's the future of humanity.
A23124	usa	train	We should stop using school uniforms.	against	School uniforms can help prevent school bully.
A23125	usa	train	We should adopt a regime of austerity.	against	I am against this because the austerity regime would ruin our country financially.
A23126	usa	train	We should stop telemarketers.	in favor of	People who don't want to be contacted are bombarded by calls from strangers.
A23127	usa	train	It should be a criminal offense to assist in suicide.	in favor of	Murder is murder, and should be treated as such, if assisting with suicide is helping kill someone.
A23128	usa	train	We should not use child actors.	in favor of	Child actors end up turning to drugs and other crimes to cope with the pressure.
A23129	usa	train	We should stop allowing the right to keep and bear arms.	against	If the right to keep and bear arms were abolished, it would take away another fundamental right of americans.
A23130	usa	train	We should stop the pride parades.	in favor of	The parades send the wrong message.
A23131	usa	train	It should be a criminal offense to assist in suicide.	in favor of	Someone who helps another person attempt suicide should be locked up.
A23132	usa	train	Executive compensation should be limited.	against	Executives who run companies that employ a lot of people should be paid high.
A23133	usa	train	The Olympics should be abolished.	in favor of	The olympic games are not worth the money to host.
A23134	usa	train	Capital punishment should be abolished.	against	Capital punishment makes people think twice about committing crimes.
A23135	usa	train	We should have compulsory voting.	against	Voting is against our rights.
A23136	usa	train	Public defenders should be compulsory.	in favor of	The use of public defenders will raise the standard of defenders.
A23137	usa	train	We should support the encyclopedia.	in favor of	The space for knowledge should be preserved.
A23138	usa	train	It should be banned.	in favor of	It could cause emotional damage to the carrier.
A23139	usa	train	We should stop profiling people.	in favor of	Racist profiling is immoral and corrupt and should be stopped because it leads to a disproportionate prison system.
A23142	usa	train	We should stop algorithmic trading.	in favor of	It is unfair to investors who are trying to invest hard earned money as a second income.
A23144	usa	train	We should stop factory farming.	against	Factory farming is a way to produce cheap food.
A23145	usa	train	Holocaust denial should be a crime.	in favor of	holocaust denial is a denial of documented fact that is the seed to more dangerous opinions and actions that allow anti-semitism to spread.
A23146	usa	train	We should stop the pride parades.	in favor of	We should stop pride parades because they encourage people who oppose that ideology to cause riots and disrupt the general peace of citizens.
A23147	usa	train	We should stop factory farming.	against	Everyone can access expensive foods at a better price if they factory farm.
A23148	usa	train	Executive compensation should be limited.	against	Executive compensation should not be limited because the whole point of becoming an executive is to work your way up the ladder to get a six figure salary and lucrative bonuses.
A23149	usa	train	We should not allow school prayer.	against	School prayer is a good way to promote human ideals of love and tolerance, which is a valuable message to be promoting.
A23150	usa	train	We should stop using safe spaces.	against	People should be able to have a safe place to stay.
A23151	usa	train	We should fight for our communities.	against	Rural areas curb the advancement of technological advancement.
A23152	usa	train	libertarianism should be adopted by us.	in favor of	The government is interfering in citizen's lives too much.
A23153	usa	train	Intelligence tests can bring harm.	against	They help to identify gifted children and help parents to develop their talents.
A23154	usa	train	Social media can bring harm.	in favor of	Social media allows people to get into your home.
A23155	usa	train	We should not be married.	against	We should change the ideas about marriage.
A23156	usa	train	We should close the camp.	against	We need a facility to hold the worst of the worst criminals, so we shouldn't close the camp.
A23157	usa	train	We should support journalism.	against	Journalism is a profession that does not need subsidizing as students can pay for themselves to learn and then be paid for their work.
A23158	usa	train	We should have compulsory voting.	in favor of	If compulsory voting were introduced, voter turnout would be higher.
A23159	usa	train	Public defenders should be compulsory.	in favor of	Public defenders are more efficient than a lawyer because they don't have an agenda besides the task at hand.
A23160	usa	train	We should fight for our communities.	in favor of	The countryside is destroyed by urbanization with it's natural beauty.
A23161	usa	train	We should stop zoos.	in favor of	The zoo's house animals are exploited for profit.
A23164	usa	train	We should not allow flag burning.	in favor of	It is permissible to criticize the government and protest its policies, but flag burning is an act of treason that cannot be forgiven.
A23165	usa	train	Celibacy should be abandoned.	in favor of	They have the same desires as everyone else.
A23166	usa	train	We should subsidize stay-at- home dads.	in favor of	stay-at- home dads are important to the economy.
A23167	usa	train	We should support stem cell research.	against	Human eggs are being used to grow stem cells.
A23168	usa	train	We should close the camp.	against	The camp shows we are willing to give in and should not be closed.
A23169	usa	train	We should stop factory farming.	against	We can't ban things just because you don't like them.
A23170	usa	train	We should support the encyclopedia.	in favor of	The encyclopedia needs more money to work better.
A23172	usa	train	We should not tolerate any kind of behavior in schools.	in favor of	Zero-tolerance policies provide a safe space.
A23173	usa	train	We should not do cosmetic surgery.	in favor of	It is a waste of time and resources to have cosmetic surgery.
A23175	usa	train	We should stop algorithmic trading.	against	It's easier to stay ahead of the market when it's automated.
A23177	usa	train	We should not use child actors.	against	Children should be allowed to work in performing arts or professional sports, a ban does not make sense, nothing bad is being done.
A23178	usa	train	We should stop using safe spaces.	in favor of	We should abolish safe spaces because universities and other public spaces have an obligation to not place limits on speech even if it comes from a good place.
A23180	usa	train	Entrapment should be legalized.	against	It's wrong to trick a person into committing a crime.
A23181	usa	train	The three-strikes laws should be abolished.	against	The punishment for repeat offenders needs to be severe.
A23182	usa	train	We should stop zoos.	against	Animals can live in zoos because of human actions.
A23183	usa	train	Celibacy should be abandoned.	in favor of	This practice has no bearing on the world today.
A23184	usa	train	Affirmative action should be ended.	in favor of	Affirmative action should be stopped immediately because it is unfair to some groups of people.
A23185	usa	train	We should not allow naturopathy.	in favor of	People may skip proven medical techniques for unproven therapies if they are taught to be Naturopathy is not medicine and it may lead to people skipping proven medical techniques for unproven therapies.
A23186	usa	train	Executive compensation should be limited.	against	The effort that executives put into their company is worth being recognized.
A23187	usa	train	We should support journalism.	against	Subsidization would cause biased reporting.
A23188	usa	train	Intelligence tests can bring harm.	against	Employers can use intelligence tests to sort job candidates into roles that are best suited for their ability.
A23190	usa	train	We should not allow school prayer.	against	During school prayer, there is a period of calm reflection that helps promote a good atmosphere for study and learning.
A23192	usa	train	We should allow polygamy.	against	If people don't want to share their partner with other people, then that's fine.
A23193	usa	train	We should adopt a regime of austerity.	in favor of	An austerity regime can help lower debt.
A23194	usa	train	We should subsidize stay-at- home dads.	against	Many stay at home fathers are depressed.
A23195	usa	train	We should stop factory farming.	against	If we banned factory farming, we would have to give more food to more people.
A23196	usa	train	We should allow organ trade.	in favor of	We should allow licensed physicians to perform operations on organs.
A23197	usa	train	We should stop the development of cars.	in favor of	Self-drive cars are dangerous and should not be produced.
A23198	usa	train	We should support journalism.	against	The media can be affected by journalism that is not good.
A23199	usa	train	Entrapment should be legalized.	against	If you have to trap a person to catch them doing wrong, then the enforcement team is not doing a good job, as people are breaking the law constantly.
A23200	usa	train	We should not serve fast food.	in favor of	The problem of Obesity in the us is caused by fast food.
A23202	usa	train	We should stop the development of cars.	in favor of	The cars programing unable to anticipate human decisions will cause more accidents.
A23203	usa	train	We should stop allowing the right to keep and bear arms.	in favor of	Most people aren't competent enough to be trusted with a gun, and the average person doesn't need one.
A23204	usa	train	We should fight for the abolition of nuclear weapons.	against	Nuclear weapons can cause a stand-off between counties that can result in less deaths.
A23205	usa	train	It should be banned.	in favor of	Adoption is a better way to have families as there are many children who need to be adopted.
A23206	usa	train	Capital punishment should be abolished.	against	Capital punishment is a way of potentially reducing the sentence of criminals and avoiding the death penalty, even if it means life without parole.
A23208	usa	train	We should not allow flag burning.	in favor of	The flag is a symbol of the united states and deserves respect.
A23209	usa	train	We should not allow naturopathy.	in favor of	There is not enough research to show that it works.
A23212	usa	train	We should allow the use of cannabis.	against	Drivers can be affected by cannabis.
A23213	usa	train	Women should not be in combat.	in favor of	There is more harm done to women in combat than men.
A23214	usa	train	The Olympics should be abolished.	against	The olympics are a positive athletic contest that builds pride in a country and promotes cooperation among all participating countries.
A23215	usa	train	We should not do cosmetic surgery.	in favor of	People should not make risky decisions for their sake.
A23216	usa	train	It should be banned.	against	Legal contacts make sure thatrogates are reimbursed for their time and expenses.
A23217	usa	train	Executive compensation should be limited.	against	Executives were given the right to make that much due to their training and education.
A23218	usa	train	We should not use child actors.	in favor of	We should ban the use of child actors because they are not allowed to be children.
A23220	usa	train	We should fight for our communities.	against	People can access jobs, transportation and health care more easily.
A23221	usa	train	We should have a multi-party system.	in favor of	The war between democrats and republicans could be eliminated.
A23223	usa	train	We should stop allowing the right to keep and bear arms.	against	The right to keep and bear arms is a constitutional right and provides comfort and safety for families who use them safely.
A23224	usa	train	Affirmative action should be ended.	against	One way of dealing with the inequality is affirmative action.
A23226	usa	train	We should stop using school uniforms.	in favor of	School uniforms place an unneeded financial burden on parents who already pay large sums for private schools, and dress clothes make learning more difficult, because they are uncomfortable
A23227	usa	train	We should support journalism.	against	Government interference in the news we are allowed to see is left at risk by subsidized journalism.
A23228	usa	train	We should allow the use of cannabis.	in favor of	People are still using cannabis despite the war on drugs.
A23229	usa	train	The three-strikes laws should be abolished.	in favor of	The three-strikes laws are unjust because they punish crimes differently when the same action is taken.
A23230	usa	train	We should not tolerate any kind of behavior in schools.	against	In many cases, punishment does not match crime.
A23231	usa	train	We should not be married.	against	Marriage is a sacred bond that is widely regarded in various religions.
A23232	usa	train	We should stop mandatory retirement.	against	Youger generations can enter the workplace.
A23233	usa	train	We should support space exploration.	against	Space exploration is a waste of time and money.
A23234	usa	train	We should subsidize stay-at- home dads.	in favor of	Staying at home dads should be subsidized because they can provide a strong protection for the children.
A23235	usa	train	Foster care can bring harm.	against	Foster care can help children with problems.
A23236	usa	train	We should not allow cosmetic surgery for children.	in favor of	They can't fully think about the consequences of plastic surgery, so they end up regretting it.
A23237	usa	train	We should adopt a regime of austerity.	in favor of	The government should be allowed to cut programs and spending to prevent the economy from collapsing.
A23238	usa	train	The Church of Scientologists should be banned.	against	People are free to practice any religion they want.
A23239	usa	train	Foster care can bring harm.	against	Foster care allows children to have a family when their parents are not available.
A23242	usa	train	We should not tolerate any kind of behavior in schools.	in favor of	The zero-tolerance policy worked in the past, as opposed to today's students.
A23243	usa	train	We should stop the pride parades.	against	The pride parade has become a symbol of freedom and acceptance for everyone.
A23246	usa	train	Executive compensation should be limited.	in favor of	Executive compensation should be limited because the money should be used for better use.
A23247	usa	train	We should allow organ trade.	in favor of	People are dying because they don't get an organ transplant, and organ trade would help them.
A23248	usa	train	We should not do cosmetic surgery.	in favor of	It is not necessary to have cosmetic surgery.
A23250	usa	train	We should not allow flag burning.	in favor of	The flag represents freedom and should not be burned.
A23252	usa	train	We should not be married.	against	Marriage is revered in religious faith and has been an institution that provides legal and symbolic love.
A23254	usa	train	We should stop profiling people.	in favor of	Sometimes racial profiling limits the number of people being questioned to only those who fit the profile.
A23255	usa	train	We should stop using economic sanctions.	in favor of	Economic sanctions are not effective.
A23256	usa	train	The blockade of the Gaza Strip should be ended.	in favor of	The blockade increases the likelihood of terror in Israel, harming citizens who may not have been involved in the blockade.
A23257	usa	train	We should stop profiling people.	against	Even if they haven't already, those who are profiled are more likely to commit a crime.
A23258	usa	train	Capital punishment should be abolished.	against	Death is the only appropriate punishment for some crimes.
A23259	usa	train	We should not do cosmetic surgery.	against	Some people need surgery to improve their health and lifestyle.
A23260	usa	train	We should support journalism.	in favor of	The general public is very interested in the topic of Jounalism.
A23261	usa	train	We should support stem cell research.	in favor of	Stem cell research is important in finding cures.
A23262	usa	train	There should be a ban on the use of payday loans.	against	If there was more oversight, the problems with payday loans would be eliminated.
A23263	usa	train	The Olympics should be abolished.	against	The olympic games are a way to show unity.
A23264	usa	train	We should use neutral language.	in favor of	"It is difficult to say ""I and them"" or ""I and them"" when talking about a group of people."
A23265	usa	train	Social media can bring harm.	against	Communication is easier when using social media for long distance situations.
A23266	usa	train	Foster care can bring harm.	in favor of	Foster care has been shown to have a negative impact on children's physical health, cognitive and academic functioning, and social-emotional wellbeing.
A23268	usa	train	We should have compulsory voting.	in favor of	Political activism would increase if compulsory voting were to happen.
A23270	usa	train	It should be banned.	in favor of	During and after a baby's birth, there are fluctuations in hormones and the risk of depression.
A23271	usa	train	We should stop allowing the right to keep and bear arms.	against	Keeping our homes and families safe is why we should keep our arms and our minds.
A23272	usa	train	We should not allow school prayer.	in favor of	This breaks the separation between the church and state.
A23273	usa	train	We should stop mandatory retirement.	in favor of	Older workers have more experience than young workers.
A23274	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	Nuclear weapons shouldn't be used and could destroy the planet.
A23275	usa	train	Women should not be in combat.	in favor of	Women are less likely to be targets in combat than men.
A23276	usa	train	We should not be married.	against	A marriage is a way for a couple to deepen their bonds.
A23277	usa	train	We should stop using safe spaces.	against	People with mental illnesses should have a place to go.
A23278	usa	train	We should support stem cell research.	in favor of	Stem cell research could help find new solutions to health problems.
A23279	usa	train	libertarianism should be adopted by us.	in favor of	libertarianism is a good idea because individuals know their own best interests better than any third party.
A23280	usa	train	The blockade of the Gaza Strip should be ended.	against	When Britain and the U.S. blockaded Germany and Japan, it was done because of a country's right to security and self-preservation.
A23281	usa	train	Affirmative action should be ended.	in favor of	Affirmative action privileges people based on characteristics outside of their control and therefore is an unjust government system.
A23282	usa	train	We should support the encyclopedia.	against	It is not a trusted source because of its vulnerability.
A23283	usa	train	We should stop mandatory retirement.	in favor of	Older employees have a lot of knowledge and experience that could be put at risk by being forced to retire.
A23284	usa	train	Capital punishment should be abolished.	in favor of	We should spare the life of the offenders and forgive them as capital punishment is inhumane.
A23285	usa	train	We should not allow naturopathy.	in favor of	There is no evidence that Naturopathy is beneficial beyond the placebo effect and may be harmful if it stops people from using conventional medicines.
A23286	usa	train	We should stop using school uniforms.	against	We should not abandon the use of uniforms because it helps to create a fair and even playing field between students who are rich and poor alike.
A23287	usa	train	We should stop using safe spaces.	against	We adhere to these principles and the safe spaces that we use to guarantee our safety should not be abolished.
A23288	usa	train	We should support stem cell research.	in favor of	Stem cell research can help cure diseases.
